date,A101-HU101,A102-HU102,A103A-HU103A,A103B-HU103B,A104-HU104,A202-HU202,A203-HU203,A204-HU204,A206-HU206,A207-HU207,A302-HU302,A303-HU303,A305-HU305,A306-HU306,A401-HU401,A402A-HU402A,A402B-HU402B,A403-HU403,A404A-HU404A,A404B-HU404B,A405-HU405,A407-HU407,A408A-HU408A,A408B-HU408B,A409A-HU409A,A409B-HU409B,A409C-HU409C,A500-HU500,A501-HU501,A502-HU502,A507-HU507,A508-HU508,A509-HU509,A510-HU510,A511-HU511,A512-HU512
1989-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,62.387,37.768,78.001,13.702,47.815,3.145,28.141,92.187,4.236000000000001,57.63999999999999,25.043,15.823,23.78,22.26599999999999,13.574000000000003,10.719,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1989-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.34,9.596000000000004,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1989-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,14.591,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1990-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,12.957000000000004,4.69,4.58,0.5000000000000001,34.764,2.372,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.468000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1990-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.101,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1990-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,73.435,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,38.008,32.751000000000005,25.528,18.494,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1990-04-30,5.601000000000004,48.764,114.99599999999997,81.19,109.27916999999998,183.916,77.68,54.339,77.88100000000003,62.63900000000001,82.87899999999999,85.346,74.34800000000001,173.813,52.71999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.481,29.254,25.611,17.089000000000002,12.787,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1990-05-31,9.462000000000002,72.188,148.18899999999994,101.01600000000002,146.409,224.77799999999996,155.163,58.13699999999999,201.859,157.786,115.20000000000005,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,43.3,38.655,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1990-06-30,10.622,81.482,163.71900000000002,109.40199999999996,175.803,271.1829999999999,167.306,74.86499999999998,246.22900000000004,162.931,117.947,166.9414802631579,116.82599999999998,322.486,79.044,94.499,6.451,167.313,209.336,14.846,298.298,115.222,3.2550000000000003,1.265,22.748,43.684000000000005,36.79900000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1990-07-31,11.694999999999991,53.398,174.429,116.561,178.675,288.1539999999999,155.308,80.335,268.8471587537751,185.192,120.92,164.637,122.058,355.943,79.993,95.601,6.524,165.048,1.4320000000000002,15.373,305.596,128.743,0.912,0.0,25.695,44.118,38.54400000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1990-08-31,11.106000000000002,83.584,150.502,102.58699999999996,161.877,228.34300000000007,162.52200000000002,66.35499999999998,219.77600000000004,171.611,107.77900000000002,152.424,97.853,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,3.2550000000000003,1.24,28.178895615100952,40.69500000000001,34.285999999999994,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1990-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,81.95400000000001,65.92200000000003,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1990-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,62.387,37.768,78.001,13.702,47.815,3.145,28.141,92.187,4.236000000000001,57.63999999999999,25.043,15.823,23.748,22.26599999999999,13.574000000000003,10.392,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1990-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.34,9.596000000000004,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1990-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,14.591,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1991-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,12.957000000000004,4.69,4.58,0.5000000000000001,35.775000000000006,2.372,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.468000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1991-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.423,0.26,19.325000000000003,0.8979999999999999,15.101,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1991-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,76.40100000000001,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,38.008,32.751000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1991-04-30,5.601000000000004,48.764,114.99599999999997,81.19,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,82.87899999999999,85.346,74.34800000000001,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.481,29.254,25.611,17.089000000000002,12.787,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1991-05-31,9.462000000000002,72.188,148.18899999999994,101.01600000000002,154.92,224.77799999999996,155.163,58.13699999999999,201.859,157.786,115.20000000000005,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,45.499,38.655,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1991-06-30,10.622,81.482,163.71900000000002,109.40199999999996,175.906,271.1829999999999,167.306,74.86499999999998,246.22900000000004,162.931,121.28199999999998,168.502,120.477,322.486,79.044,94.499,6.451,167.313,209.336,14.846,298.298,115.222,3.2550000000000003,1.265,22.748,43.684000000000005,36.79900000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1991-07-31,11.694999999999991,53.398,174.429,112.398,189.821,288.1539999999999,155.308,80.335,275.593,185.192,124.33899999999998,164.637,125.872,355.943,79.993,87.634,0.0,165.048,0.928,15.373,305.596,128.743,0.912,0.0,25.695,44.118,38.54400000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1991-08-31,11.106000000000002,80.656,150.502,102.58699999999996,161.877,228.34300000000007,154.14800000000002,66.35499999999998,219.77600000000004,171.611,110.64300000000004,152.424,97.853,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,14.770880098814178,1.24,50.459,40.69500000000001,34.285999999999994,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1991-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,81.95400000000001,65.92200000000003,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1991-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,62.387,37.768,78.001,13.702,47.815,3.145,28.141,92.187,4.236000000000001,57.63999999999999,25.043,15.823,23.78,22.26599999999999,13.574000000000003,10.392,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1991-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.34,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1991-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,14.591,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1992-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,12.957000000000004,4.69,4.58,0.5000000000000001,34.764,2.372,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.468000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1992-02-29,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.101,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1992-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,73.435,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,38.008,32.751000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1992-04-30,5.601000000000004,48.764,114.99599999999997,81.19,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,85.346,76.47200000000002,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.481,29.254,25.611,17.089000000000002,12.787,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1992-05-31,9.462000000000002,72.188,150.90499999999994,101.01600000000002,163.43099999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,115.20000000000005,127.663,105.794,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,43.3,38.655,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1992-06-30,10.622,81.482,166.72000000000003,105.49499999999996,196.358,271.1829999999999,157.49900000000002,76.21247941099455,254.03500000000008,162.931,125.52699999999996,164.904,120.477,322.486,79.044,49.75750300120048,0.0,167.313,209.336,14.846,298.298,115.222,3.2550000000000003,1.265,22.748,43.684000000000005,36.79900000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1992-07-31,11.694999999999991,53.398,177.626,112.398,207.88768,288.1539999999999,155.088,80.335,275.593,185.192,128.69099999999997,164.637,122.661545,355.943,79.993,50.204081632653065,0.0,165.048,0.0,15.373,305.596,128.743,0.912,0.0,25.695,44.118,38.54400000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1992-08-31,11.106000000000002,80.656,153.261,102.58699999999996,170.77,228.34300000000007,154.14800000000002,66.35499999999998,219.77600000000004,171.611,110.64300000000004,152.424,103.78300000000002,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,28.54628557312249,1.24,50.459,40.69500000000001,34.285999999999994,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1992-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,73.50599999999997,81.95400000000001,65.92200000000003,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1992-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,62.387,37.768,78.001,13.702,47.815,3.145,28.141,92.187,4.236000000000001,57.63999999999999,25.043,15.823,23.78,22.26599999999999,13.574000000000003,10.392,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1992-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.34,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1992-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1993-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,35.775000000000006,2.297,1.257,18.555,0.845,8.575999999999999,6.564,5.924,9.511,8.699999999999998,5.756000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1993-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.896,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1993-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,76.40100000000001,38.07999999999999,76.23599999999999,36.68299999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,29.168,40.927,35.976000000000006,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1993-04-30,5.601000000000004,48.764,114.99599999999997,78.49499999999998,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,94.14900000000002,78.59600000000002,173.813,54.78999999999998,46.26699999999999,3.148000000000001,73.3,110.32,5.340000000000001,140.894,63.21,19.505000000000003,29.332,28.014,17.089000000000002,13.497,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1993-05-31,9.462000000000002,72.188,150.90499999999994,97.479,171.94199999999998,224.77799999999996,155.163,58.13699999999999,201.859,156.13299999999998,125.21800000000005,134.19799999999998,112.20600000000002,284.012,78.52000000000001,62.573,3.943,171.77299999999997,171.026,10.268,241.894,111.897,36.825,51.117,48.68299999999999,40.109,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1993-06-30,10.622,78.62800000000001,166.72000000000003,105.49499999999996,206.584,271.1829999999999,176.721,77.06099999999998,283.8390000000001,160.889,133.10699999999997,168.502,122.661545,322.486,80.532,0.0,0.0,177.155,209.336,14.846,298.298,115.222,39.716,1.38,56.23,48.827,39.099,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1993-07-31,11.694999999999991,54.64089999999999,174.429,112.398,200.856,288.1539999999999,176.898,80.335,285.75034400000004,185.192,132.11,181.918,122.058,355.943,79.993,0.0,0.0,165.048,0.0,15.373,305.596,128.743,45.785,1.461,63.515,45.662000000000006,41.55600000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1993-08-31,11.106000000000002,80.656,153.261,102.58699999999996,170.77,228.34300000000007,162.52200000000002,66.35499999999998,219.77600000000004,171.611,117.15200000000004,155.679,103.78300000000002,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,109.837,38.914,1.353,55.047,43.728,36.429,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1993-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,77.58999999999997,86.69400000000002,67.75300000000001,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.826999999999998,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1993-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,64.809,37.768,78.001,13.702,46.384,3.039,28.141,92.187,4.236000000000001,57.63999999999999,26.51,16.791,25.361,22.96699999999999,13.909000000000006,10.719,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1993-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.757,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1993-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,31.01299999999999,2.058,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1994-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,34.764,2.297,1.257,18.555,0.845,8.575999999999999,6.539999999999999,5.924,9.511,8.699999999999998,5.589000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1994-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,31.571,7.709999999999997,11.205000000000002,0.147,35.42899999999999,2.346,0.26,19.325000000000003,0.8979999999999999,15.101,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1994-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,73.435,38.07999999999999,76.23599999999999,34.75199999999999,79.36,2.673,15.316,132.032,6.807,113.168,47.604,27.381,38.008,32.751000000000005,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1994-04-30,5.601000000000004,48.764,114.99599999999997,81.19,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,84.95599999999999,89.001,76.47200000000002,173.813,54.78999999999998,46.26699999999999,3.148000000000001,69.44200000000001,110.32,5.340000000000001,140.894,59.752,19.481,29.254,25.826975460987686,17.089000000000002,12.787,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
1994-05-31,9.462000000000002,72.188,150.90499999999994,101.01600000000002,163.43099999999998,224.77799999999996,155.163,58.13699999999999,201.859,157.786,118.26100000000004,127.663,106.249983,283.634,77.06900000000002,67.386,3.943,162.23,171.026,10.268,241.894,111.897,34.373,47.191,45.499,38.655,30.104,15.84,32.120000000000005,13.71,35.77,68.71000000000001,50.45100000000001,326.09000000000003,5.45,15.24
1994-06-30,10.622,81.482,166.72000000000003,105.49499999999996,196.358,271.1829999999999,176.55305060502317,75.03290861848748,276.03300000000013,162.931,128.86199999999997,164.904,120.477,322.486,79.044,0.0,0.0,167.313,209.336,14.846,298.298,115.222,39.716,1.265,54.162000000000006,46.93900000000001,37.76500000000001,19.3,38.74,16.482,45.09,86.60999999999999,60.642,411.03,6.869999999999997,19.21
1994-07-31,11.694999999999991,53.398,177.626,112.398,207.88768,288.1539999999999,166.103,80.335,285.75034400000004,185.192,132.11,164.637,122.661545,355.943,79.993,0.0,0.0,165.048,0.312,15.373,305.596,128.743,0.912,0.0,25.695,44.118,41.55600000000001,27.91,43.52,18.508,49.290000000000006,94.68,68.116,449.33,7.5000000000000036,21.0
1994-08-31,11.106000000000002,80.656,153.261,102.58699999999996,170.77,228.34300000000007,162.52200000000002,66.35499999999998,219.77600000000004,171.611,117.15200000000004,152.424,103.78300000000002,303.85400000000004,60.15399999999998,77.72200000000001,5.306,135.608,207.375,13.482,249.445,103.453,38.844,1.24,52.386,40.69500000000001,35.18599999999999,34.41,33.76,14.361999999999998,40.010000000000005,76.84,52.842,364.66,6.1,17.04
1994-09-30,9.777,58.218,72.349,53.00500000000001,63.963,101.627,64.797,26.636000000000003,86.90400000000001,107.63099999999996,75.79299999999998,81.95400000000001,67.75300000000001,144.79000000000002,31.676999999999992,21.105999999999995,1.5760000000000003,61.719,56.88,2.604,84.629,32.528,7.22,11.550999999999998,14.619000000000003,8.697000000000003,6.628999999999999,15.58,12.8,5.444000000000001,8.91,17.11,20.038,81.18,1.3500000000000003,3.79
1994-10-31,6.107999999999997,28.828,43.52200000000001,31.87200000000001,20.458,73.84700000000001,32.861,12.481,23.48400000000001,40.097,37.24199999999999,62.387,37.768,78.001,13.702,47.815,3.145,28.141,92.187,4.236000000000001,57.63999999999999,25.043,15.823,23.78,22.26599999999999,13.574000000000003,10.392,2.88,6.470000000000001,2.76,9.99,19.18,10.158,91.02,1.5200000000000002,4.25
1994-11-30,0.7010000000000001,3.221,20.419,14.965000000000002,9.842,41.89799999999999,1.7729999999999997,7.097,3.082,2.619,9.213000000000005,27.757,9.842000000000002,7.118,0.5060000000000001,20.508000000000003,1.525,0.382,9.997,0.4569999999999999,5.779,0.577,1.903,3.0460000000000003,1.382,0.917,0.6400000000000001,0.0,0.33,0.148,0.7100000000000002,1.36,0.548,6.43,0.0999999999999999,0.3
1994-12-31,0.282,0.263,9.001999999999999,6.594999999999998,7.803000000000001,27.78100000000001,0.326,7.800000000000002,0.185,0.8390000000000002,5.544999999999999,15.128000000000002,8.477999999999998,3.247,0.0,32.42661508773391,1.993,0.0,10.337,0.478,1.7399999999999998,0.0,0.099,0.164,0.0,0.0,0.0,0.0,0.06,0.025,0.25,0.49,0.099,2.45,0.02,0.11
1995-01-31,0.081,0.226,4.899000000000001,3.5680000000000005,2.039,10.991999999999996,0.288,7.435999999999999,0.317,0.243,8.455,13.434000000000005,4.69,4.58,0.5000000000000001,36.74700000000001,2.297,1.257,18.555,0.845,8.575999999999999,6.564,5.924,9.511,8.699999999999998,5.756000000000001,4.058,0.0,0.06,0.019,2.45,4.71,0.09,22.37,0.37,1.0499999999999998
1995-02-28,0.0,0.5450000000000002,3.0380000000000007,2.224,1.7969999999999997,2.1420000000000003,0.407,6.834,0.959,0.194,10.058,32.053,7.709999999999997,11.205000000000002,0.147,36.46,2.346,0.26,19.325000000000003,0.8979999999999999,15.896,2.26,3.325,5.328000000000001,3.939000000000002,2.611999999999999,1.8260000000000003,0.0,0.08,0.029,1.5200000000000005,2.91,0.126,13.79,0.22,0.6399999999999999
1995-03-31,0.355,8.583000000000002,10.738999999999995,7.873000000000003,6.926,9.323,15.428,9.113999999999995,8.433000000000002,5.901999999999999,35.051,79.36700000000002,38.07999999999999,76.23599999999999,36.68299999999999,82.351,2.673,15.316,132.032,6.807,119.825,47.8,29.204,43.846,40.51800000000001,25.528,19.11,0.22,3.05,1.295,18.07,34.69,4.769,164.61,2.75,7.69
1995-04-30,5.601000000000004,54.64089999999999,114.99599999999997,78.49499999999998,111.563,183.916,77.68,54.339,77.88100000000003,62.63900000000001,89.67599999999999,94.14900000000002,78.59600000000002,184.025,54.78999999999998,46.26699999999999,3.045,73.3,110.32,5.340000000000001,149.7,63.21,19.505000000000003,29.371,29.534999999999997,17.089000000000002,13.497,9.33,15.34,6.527,17.150000000000002,32.92,24.021,156.25,2.61,7.299999999999999
